season,position,team,played,won,draw,lost,goals_for,goals_against,goal_difference,points,home_games_played,away_games_played,home_goals_for,home_goals_against,away_goals_for,away_goals_against,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,season_form,home_form,away_form
1992-1993,1,Man Utd,42,24,12,6,67,31,36,84,21,21,39,14,28,17,14,5,2,10,7,4,"W,W,W,W,W,W,W,D,D,D,L,W,W,W,D,W,L,W,W,W,W,D,D,W,W,W,W,L,L,D,D,D,D,D,W,W,W,W,W,D,L,L","W,W,W,D,D,W,W,W,W,W,W,W,W,W,L,D,D,W,W,D,L","W,W,W,W,D,L,W,D,L,W,D,D,W,L,D,D,D,W,W,W,L"
1992-1993,2,Aston Villa,42,21,11,10,57,40,17,74,21,21,36,16,21,24,13,5,3,8,6,7,"L,L,L,W,W,D,W,L,W,D,D,W,W,W,L,W,L,W,W,W,W,L,D,W,W,L,D,W,W,D,D,W,W,W,D,W,L,W,L,D,D,D","L,W,D,W,D,W,W,W,W,W,W,W,L,W,W,D,W,W,L,D,D","L,L,W,W,L,D,W,L,L,W,L,D,W,D,D,W,W,D,W,L,D"
1992-1993,3,Norwich,42,21,9,12,61,65,-4,72,21,21,31,19,30,46,13,6,2,8,3,10,"D,W,L,W,L,L,W,L,W,W,W,L,D,D,W,L,W,W,D,L,D,D,L,L,W,W,W,W,D,L,W,L,D,W,W,W,W,W,L,D,W,W","W,W,L,W,W,D,D,W,W,D,D,L,W,W,D,W,W,W,W,D,W","D,L,L,L,W,W,L,L,W,L,D,L,W,W,L,L,D,W,W,L,W"
1992-1993,4,Blackburn,42,20,11,11,68,46,22,71,21,21,38,18,30,28,13,4,4,7,7,7,"W,W,L,W,W,W,L,W,W,W,D,D,L,D,W,L,L,L,W,D,L,W,W,L,L,W,D,L,D,D,D,W,W,D,L,W,W,W,D,W,W,D","W,W,W,W,D,D,W,L,L,D,W,W,W,L,D,W,W,L,W,W,W","W,L,W,L,W,W,L,D,L,W,L,L,L,D,D,D,D,W,W,D,D"
1992-1993,5,QPR,42,17,12,13,63,55,8,63,21,21,41,32,22,23,11,5,5,6,7,8,"W,W,D,D,W,W,D,L,D,L,L,W,L,L,W,D,D,W,D,L,W,W,L,L,W,L,L,W,L,W,L,W,D,D,W,D,D,L,W,W,W,D","W,W,W,L,L,W,W,D,D,L,W,L,W,L,W,W,D,D,D,W,W","D,D,W,D,D,L,L,L,D,W,W,L,L,W,L,L,D,W,L,W,D"
1992-1993,6,Liverpool,42,16,11,15,62,55,7,59,21,21,41,18,21,37,13,4,4,3,7,11,"W,L,L,W,W,D,W,L,D,W,W,W,L,D,D,L,D,D,W,L,L,D,L,W,L,W,W,W,L,W,D,W,L,L,L,W,D,D,D,L,W,L","W,W,W,W,W,W,L,D,D,L,D,W,W,W,W,W,L,W,D,L,W","L,L,D,L,D,W,D,L,D,W,L,L,L,W,L,D,L,L,D,D,L"
1992-1993,7,Sheffield Wed,42,15,14,13,55,51,4,59,21,21,34,26,21,25,9,8,4,6,6,9,"L,L,W,D,L,D,W,L,D,D,L,W,L,D,W,W,W,W,W,W,W,D,W,L,L,D,D,D,D,D,W,L,W,L,W,L,L,L,D,D,W,D","W,D,L,D,W,D,D,W,W,W,D,W,L,D,D,W,W,L,L,D,W","L,L,L,D,L,W,L,W,W,W,W,L,D,D,D,L,L,W,L,D,D"
1992-1993,8,Spurs,42,16,11,15,60,66,-6,59,21,21,40,25,20,41,11,5,5,5,6,10,"W,L,L,D,L,W,L,W,W,D,D,L,W,W,W,W,W,L,L,L,W,D,L,W,L,W,D,W,W,D,D,L,L,D,L,W,W,D,L,D,L,D","L,D,W,W,W,W,W,W,L,L,W,W,L,D,W,D,D,W,W,D,L","W,L,L,L,D,D,L,W,W,L,D,L,W,W,D,L,L,L,D,L,D"
1992-1993,9,Man City,42,15,12,15,56,51,5,57,21,21,30,25,26,26,7,8,6,8,4,9,"L,D,W,D,L,D,D,W,L,D,L,W,W,L,L,D,W,W,L,W,D,W,D,L,L,L,W,W,W,W,D,D,L,L,L,W,W,D,W,L,L,D","L,D,D,D,W,D,W,L,W,L,W,D,L,W,W,D,L,L,D,W,D","W,L,D,L,L,W,L,D,W,W,D,L,L,W,W,D,L,W,W,L,L"
1992-1993,10,Arsenal,42,15,11,16,40,38,2,56,21,21,25,20,15,18,8,6,7,7,5,9,"L,W,L,D,D,D,L,W,L,D,W,W,D,L,D,W,L,L,W,D,L,D,D,L,L,L,L,W,W,W,W,W,W,D,L,L,D,W,W,W,L,L","L,W,D,D,L,W,D,L,L,D,D,D,L,W,W,W,W,L,W,W,L","L,D,W,L,D,W,D,L,W,W,L,L,L,L,W,W,D,L,D,W,L"
1992-1993,11,Chelsea,42,14,14,14,51,54,-3,56,21,21,29,22,22,32,9,7,5,5,7,9,"L,W,L,W,L,D,W,D,D,D,W,W,L,L,D,L,L,D,L,L,D,D,D,D,W,W,W,W,L,W,W,L,D,W,L,L,W,W,D,D,L,D","W,W,W,D,W,W,L,D,L,L,D,D,W,W,L,W,D,L,W,D,D","L,L,L,D,D,D,L,L,D,L,D,D,W,W,W,L,W,L,W,D,L"
1992-1993,12,Wimbledon,42,14,12,16,56,55,1,54,21,21,32,23,24,32,9,4,8,5,8,8,"L,D,D,W,L,W,L,D,W,W,W,L,L,W,W,W,W,L,W,D,D,L,D,W,L,D,L,L,W,D,D,L,W,D,L,W,L,D,D,L,L,L","L,W,W,W,W,L,W,W,L,W,D,W,D,L,D,L,D,W,L,L,L","D,D,L,L,D,W,L,W,W,D,L,D,L,L,W,D,W,L,D,D,L"
1992-1993,13,Everton,42,15,8,19,53,55,-2,53,21,21,26,27,27,28,7,6,8,8,2,11,"W,L,D,D,L,W,W,L,W,L,W,W,D,L,L,L,L,W,W,W,L,D,W,L,W,L,L,W,L,L,D,L,L,L,W,L,L,D,W,D,W,D","L,D,L,W,W,W,D,L,L,W,D,W,W,L,L,D,L,L,D,W,D","W,D,W,L,L,W,L,L,W,W,L,L,L,W,L,L,L,W,L,D,W"
1992-1993,14,Sheffield Utd,42,14,10,18,54,53,1,52,21,21,33,19,21,34,10,6,5,4,4,13,"W,W,W,D,L,D,D,W,W,L,L,W,L,W,L,W,L,L,L,W,D,L,L,W,L,D,L,D,W,D,L,W,D,D,W,L,L,L,D,L,L,W","W,L,D,W,L,L,W,W,W,L,W,W,D,D,D,W,D,W,L,D,W","W,W,D,D,W,L,L,L,L,D,L,L,L,L,W,L,D,L,L,L,L"
1992-1993,15,Coventry,42,13,13,16,52,57,-5,52,21,21,29,28,23,29,7,4,10,6,9,6,"D,L,L,L,D,W,L,D,L,L,L,W,D,L,W,L,W,W,D,L,L,W,W,D,D,D,L,L,D,L,D,D,D,D,W,W,W,L,L,W,W,W","D,L,W,L,L,L,W,L,W,L,W,W,D,L,L,D,D,W,L,L,W","L,L,D,D,L,D,L,W,W,D,L,D,D,L,D,D,D,W,W,W,W"
1992-1993,16,Ipswich,42,12,16,14,50,55,-5,52,21,21,29,22,21,33,8,9,4,4,7,10,"W,L,W,L,L,D,L,L,D,L,L,L,L,D,D,L,W,W,L,L,W,D,W,W,D,W,D,D,W,D,L,W,D,L,W,D,D,D,D,D,W,D","W,W,L,D,D,L,L,D,W,L,W,W,W,D,D,W,D,W,D,D,D","L,L,L,L,L,L,D,L,W,L,D,W,D,D,W,L,L,D,D,D,W"
1992-1993,17,Leeds,42,12,15,15,57,62,-5,51,21,21,40,17,17,45,12,8,1,0,7,14,"D,D,D,L,D,L,W,L,D,D,W,W,D,L,W,D,L,W,L,W,D,L,L,W,L,L,W,L,D,L,W,L,W,D,D,L,D,D,W,L,D,W","D,D,W,D,W,W,W,D,W,W,D,W,L,W,D,W,W,D,D,W,W","D,D,L,L,L,D,D,L,L,L,L,L,L,L,L,L,D,L,D,L,D"
1992-1993,18,Southampton,42,13,11,18,54,61,-7,50,21,21,30,21,24,40,10,6,5,3,5,13,"L,L,D,L,W,L,L,L,W,D,W,W,L,W,W,L,W,L,W,L,L,D,L,D,W,W,D,D,W,L,D,L,W,D,L,L,D,W,L,D,L,D","L,D,W,L,W,W,W,W,W,W,L,D,W,D,W,D,D,L,W,L,D","L,L,L,L,D,W,L,L,L,L,D,L,W,D,L,L,W,L,D,D,L"
1992-1993,19,Oldham,42,13,10,19,63,74,-11,49,21,21,43,30,20,44,10,6,5,3,4,14,"W,W,W,L,D,L,D,W,W,D,L,W,D,L,L,L,W,L,L,L,L,W,W,L,L,W,L,L,L,D,L,W,L,W,D,L,D,D,L,W,D,D","W,W,D,D,W,D,W,L,W,L,L,W,W,L,D,W,W,L,D,W,D","W,L,L,W,L,D,L,L,L,L,W,L,L,L,L,L,L,D,D,L,D"
1992-1993,20,Crystal Palace,42,11,16,15,48,61,-13,49,21,21,27,25,21,36,6,9,6,5,7,9,"L,D,W,L,D,W,L,D,D,W,D,D,D,L,W,W,L,L,L,L,W,W,W,W,W,L,D,L,L,D,D,D,L,W,D,L,L,L,D,D,D,D","W,L,W,D,D,D,D,W,L,L,W,W,W,D,L,D,L,D,L,D,D","L,D,D,L,W,D,L,W,L,L,W,W,L,L,D,D,W,L,L,D,D"
1992-1993,21,Middlesbrough,42,11,11,20,54,75,-21,44,21,21,33,27,21,48,8,5,8,3,6,12,"D,W,W,L,L,W,L,L,D,L,L,W,L,L,L,L,L,W,L,L,L,D,D,D,W,L,W,L,D,D,L,D,D,L,D,W,W,D,L,W,W,L","D,W,L,W,L,L,L,L,W,L,L,D,W,W,D,D,L,W,D,W,W","W,L,L,D,L,W,L,L,L,L,D,D,L,L,D,L,D,D,W,L,L"
1992-1993,22,Nott'm Forest,42,10,10,22,41,62,-21,40,21,21,17,25,24,37,6,4,11,4,6,11,"L,L,D,L,W,L,L,L,W,D,L,L,D,L,W,W,D,W,L,W,W,L,D,L,W,L,D,L,L,D,W,L,D,D,D,L,L,L,L,L,L,W","L,W,L,L,D,L,D,L,W,W,W,D,L,L,L,W,L,D,L,L,W","L,D,L,L,W,L,W,D,L,W,L,L,W,D,D,D,D,L,L,L,L"
1993-1994,1,Man Utd,42,27,11,4,80,38,42,92,21,21,39,13,41,25,14,6,1,13,5,3,"D,W,W,W,W,L,W,L,W,D,D,W,L,D,W,W,W,D,D,W,D,W,D,W,D,W,D,W,W,W,W,W,W,W,W,L,W,W,W,D,W,W","D,W,W,W,W,W,L,W,D,D,W,D,D,W,W,W,W,W,W,D,W","W,W,L,L,D,D,D,W,W,D,W,D,W,W,W,W,W,L,W,W,W"
1993-1994,2,Blackburn,42,25,9,8,63,36,27,84,21,21,31,11,32,25,14,5,2,11,4,6,"D,L,W,D,L,W,W,W,L,W,W,W,L,D,W,W,W,W,W,W,W,D,W,W,W,L,W,W,L,W,D,D,W,D,L,W,D,D,W,W,L,W","D,D,W,W,W,W,W,W,W,W,W,W,W,W,W,D,D,L,D,W,L","L,W,L,W,L,W,L,D,W,W,W,D,W,L,L,D,W,W,D,W,W"
1993-1994,3,Newcastle,42,23,8,11,82,41,41,77,21,21,51,14,31,27,14,4,3,9,4,8,"W,L,W,W,W,L,D,D,W,W,W,W,W,W,L,L,L,W,W,W,L,D,W,D,W,L,W,W,W,W,L,L,W,W,D,W,D,D,W,D,L,L","W,W,W,D,W,W,W,W,L,W,D,D,W,W,W,L,W,W,D,W,L","L,W,L,D,W,W,L,L,W,W,L,W,W,L,W,L,W,D,D,D,L"
1993-1994,4,Arsenal,42,18,17,7,53,28,25,71,21,21,25,15,28,13,10,8,3,8,9,4,"L,L,D,W,D,W,D,D,W,D,W,W,W,D,D,D,D,D,W,W,W,L,W,D,L,W,D,W,L,D,D,D,D,W,L,W,D,W,W,W,W,L","L,D,W,D,W,D,W,D,D,W,W,D,W,L,D,D,W,W,W,W,L","L,D,W,D,W,W,D,D,D,W,W,L,L,D,W,D,D,L,D,W,W"
1993-1994,5,Leeds,42,18,16,8,65,39,26,70,21,21,37,18,28,21,13,6,2,5,10,6,"W,D,W,L,D,W,W,D,L,W,W,D,D,D,W,L,L,D,D,D,D,W,L,W,W,W,D,D,W,D,D,D,W,W,W,W,W,L,L,L,W,D","D,W,L,W,D,W,W,D,W,D,D,W,W,W,W,D,W,W,W,L,W","W,D,W,L,D,D,L,L,D,D,L,W,D,D,D,D,W,W,L,L,D"
1993-1994,6,Wimbledon,42,18,11,13,56,53,3,65,21,21,35,21,21,32,12,5,4,6,6,9,"L,W,W,W,D,W,D,W,W,W,L,L,W,W,L,W,L,D,W,L,D,L,W,W,L,D,D,L,W,L,L,D,L,D,W,W,W,D,L,D,D,W","W,W,W,D,W,W,W,W,W,L,L,W,L,D,W,L,D,W,W,D,D","L,W,D,W,L,L,W,L,L,D,D,W,D,L,L,D,L,W,D,L,W"
1993-1994,7,Sheffield Wed,42,16,16,10,76,54,22,64,21,21,48,24,28,30,10,7,4,6,9,6,"D,D,D,W,D,W,W,W,W,L,L,D,L,D,W,W,L,W,W,D,W,W,L,D,W,W,W,D,W,D,D,D,L,D,W,L,D,D,L,L,D,L","D,W,W,W,W,L,L,W,W,D,W,W,W,D,D,D,L,W,D,L,D","D,D,D,W,L,D,D,W,L,W,W,L,D,W,W,D,D,L,D,L,L"
1993-1994,8,Liverpool,42,17,9,16,59,55,4,60,21,21,33,23,26,32,12,4,5,5,5,11,"L,L,W,L,W,D,L,L,L,W,W,L,W,L,L,D,W,W,D,W,D,D,D,D,W,L,W,L,W,W,D,W,D,L,L,L,L,W,L,W,W,W","L,L,W,L,W,W,W,W,D,D,D,W,W,W,W,W,D,L,W,L,W","L,W,D,L,L,L,L,L,D,W,W,D,D,L,L,D,L,L,L,W,W"
1993-1994,9,QPR,42,16,12,14,62,61,1,60,21,21,32,29,30,32,8,7,6,8,5,8,"W,D,L,D,D,W,D,L,L,L,W,W,D,W,D,L,W,L,D,L,D,W,W,L,D,D,L,W,W,L,W,W,W,D,D,L,W,W,L,W,L,L","D,L,D,W,D,L,W,D,L,L,L,W,D,D,W,W,W,D,W,W,L","W,D,L,L,W,D,W,W,D,D,W,L,L,W,L,W,D,L,W,L,L"
1993-1994,10,Aston Villa,42,15,12,15,46,50,-4,57,21,21,23,18,23,32,8,5,8,7,7,7,"W,L,L,L,W,L,D,L,D,L,L,L,W,D,D,W,W,D,W,L,W,L,L,D,D,L,L,W,W,W,W,D,L,D,W,D,W,W,L,D,D,W","W,L,D,D,L,L,D,W,W,W,L,L,D,L,W,W,L,D,W,L,W","L,L,W,L,L,L,W,D,D,W,L,D,L,W,W,D,D,W,W,D,D"
1993-1994,11,Coventry,42,14,14,14,43,45,-2,56,21,21,23,17,20,28,9,7,5,5,7,9,"D,W,W,D,D,W,W,L,W,L,L,L,L,W,D,L,W,L,L,D,W,W,D,L,W,L,L,D,W,D,L,D,L,L,D,D,W,D,D,D,W,W","W,D,W,L,W,L,W,W,L,D,D,W,L,W,D,D,L,D,W,D,W","D,W,D,W,L,L,L,D,L,L,W,W,L,L,D,L,L,D,D,D,W"
1993-1994,12,Norwich,42,12,17,13,65,61,4,53,21,21,26,29,39,32,4,9,8,8,8,5,"D,W,L,D,L,D,L,L,L,W,L,L,D,D,D,D,D,D,D,L,W,L,W,L,W,D,L,D,W,D,D,W,W,W,D,L,D,D,W,W,W,L","D,L,L,L,W,L,D,D,D,D,D,L,L,W,D,D,W,L,D,W,L","W,D,D,L,L,L,D,D,W,W,L,D,L,W,D,W,W,D,D,W,W"
1993-1994,13,West Ham,42,13,13,16,47,58,-11,52,21,21,26,31,21,27,6,7,8,7,6,8,"D,D,W,L,L,W,L,W,W,L,L,L,D,D,D,D,L,D,W,L,D,L,W,L,W,W,D,W,L,W,D,D,W,L,W,D,L,L,W,D,L,L","D,L,L,L,W,L,D,D,D,L,W,L,D,W,W,D,W,D,L,W,L","D,W,W,W,L,L,D,D,L,W,D,L,W,W,L,D,L,W,L,D,L"
1993-1994,14,Chelsea,42,13,12,17,49,53,-4,51,21,21,31,20,18,33,11,5,5,2,7,12,"W,L,D,W,D,L,D,D,W,L,W,L,W,W,W,L,L,D,D,W,W,W,L,D,L,L,D,L,L,L,L,L,L,W,D,W,D,D,W,L,D,L","W,L,W,D,W,W,W,W,D,W,W,D,D,L,L,L,W,W,D,W,L","D,L,D,D,L,L,W,L,L,D,W,L,L,L,L,L,L,D,D,L,D"
1993-1994,15,Spurs,42,11,12,19,54,59,-5,45,21,21,29,33,25,26,4,8,9,7,4,10,"L,W,L,W,L,L,L,W,W,D,D,D,L,L,L,L,L,L,L,W,L,D,W,D,L,D,D,D,L,L,D,L,W,D,W,D,D,L,W,W,L,W","L,W,L,D,D,D,L,L,L,L,L,D,L,D,D,D,W,W,D,W,L","W,L,L,L,W,W,L,L,L,W,W,D,D,L,L,L,D,D,L,W,W"
1993-1994,16,Man City,42,9,18,15,38,49,-11,45,21,21,24,22,14,27,6,10,5,3,8,10,"D,D,L,D,W,W,W,D,D,D,L,D,W,D,L,D,W,L,D,L,D,L,L,W,L,L,D,D,L,L,D,D,D,W,L,W,W,D,L,L,L,D","D,D,W,W,D,L,W,D,W,D,D,L,W,L,L,D,D,W,D,L,D","D,L,W,D,D,D,D,L,L,L,L,L,D,D,L,D,W,L,W,L,L"
1993-1994,17,Everton,42,12,8,22,42,63,-21,44,21,21,26,30,16,33,8,4,9,4,4,13,"W,L,D,L,W,L,L,D,L,L,L,W,D,D,W,L,W,L,L,L,L,L,D,L,W,D,D,L,L,W,L,D,L,L,W,W,L,L,L,W,W,W","W,D,L,L,W,D,D,W,W,L,L,L,W,D,L,L,L,W,L,W,W","L,L,W,L,D,L,L,L,L,L,D,L,D,L,W,D,L,W,L,L,W"
1993-1994,18,Southampton,42,12,7,23,49,66,-17,43,21,21,30,31,19,35,9,2,10,3,5,13,"D,L,W,L,W,W,L,L,L,D,L,D,D,W,W,L,W,W,L,D,W,L,L,L,L,L,W,L,W,L,W,D,D,L,L,L,L,L,W,L,L,L","W,W,L,L,L,D,W,W,W,L,W,L,L,L,W,W,D,L,L,W,L","D,L,L,W,L,D,D,L,W,D,L,L,W,L,L,D,L,L,L,L,L"
1993-1994,19,Ipswich,42,9,16,17,35,58,-23,43,21,21,21,32,14,26,5,8,8,4,8,9,"D,L,L,D,L,L,L,D,L,L,D,W,L,W,D,L,L,D,D,L,D,W,D,W,D,W,D,D,L,L,W,D,L,D,L,L,D,D,L,W,W,W","L,D,L,D,L,L,W,D,L,D,W,D,W,L,L,D,D,L,D,W,W","D,L,L,L,L,D,W,D,L,L,D,D,W,D,D,W,L,L,D,L,W"
1993-1994,20,Sheffield Utd,42,8,18,16,42,60,-18,42,21,21,24,23,18,37,6,10,5,2,8,11,"L,D,W,W,L,D,W,W,D,D,D,D,D,L,D,L,L,D,W,L,D,L,D,L,D,W,L,L,L,D,D,D,D,L,L,D,L,D,W,L,L,W","W,L,D,W,D,D,D,D,L,W,D,D,L,W,L,D,L,D,D,W,W","L,D,W,W,D,D,L,L,D,L,L,D,L,L,D,D,D,L,L,L,L"
1993-1994,21,Oldham,42,9,13,20,42,68,-26,40,21,21,24,33,18,35,5,8,8,4,5,12,"D,L,D,D,L,L,L,L,W,W,D,W,L,D,W,W,D,L,L,L,L,D,L,W,D,W,L,L,L,W,D,L,D,D,L,L,L,D,D,L,W,L","L,D,D,L,W,D,D,W,W,L,L,L,W,W,L,D,D,L,D,D,L","D,L,L,L,W,W,L,D,L,L,D,D,L,L,W,L,D,L,L,L,W"
1993-1994,22,Swindon,42,5,15,22,47,100,-53,30,21,21,25,45,22,55,4,7,10,1,8,12,"L,W,L,L,D,L,D,L,D,L,D,L,D,L,W,W,L,D,L,D,L,W,D,L,D,L,W,D,L,L,D,D,L,L,D,D,L,D,L,L,L,L","L,L,L,D,D,D,W,W,L,L,W,D,W,D,L,D,L,D,L,L,L","W,L,D,D,L,L,L,L,L,D,D,D,L,L,L,D,L,D,D,L,L"
1994-1995,1,Blackburn,42,27,8,7,80,39,41,89,21,21,54,21,26,18,17,2,2,10,6,5,"L,W,L,W,L,D,W,W,W,D,W,W,D,W,W,L,D,W,L,W,W,W,W,D,W,W,W,W,W,W,W,L,W,D,L,W,W,W,D,W,W,D","W,W,L,W,W,D,W,W,D,W,W,W,W,W,W,L,W,W,W,W,W","L,L,D,W,W,D,W,L,L,W,W,D,W,W,W,W,D,L,W,D,D"
1994-1995,2,Man Utd,42,26,10,6,77,28,49,88,21,21,42,4,35,24,16,4,1,10,6,5,"D,W,W,W,D,W,D,W,L,D,W,W,L,W,W,W,D,W,D,W,D,D,W,L,W,W,D,W,W,W,W,W,W,L,W,L,W,L,W,W,D,W","W,W,D,D,W,D,W,W,W,W,D,L,W,W,W,W,W,W,W,W,W","D,W,W,L,W,L,W,W,D,D,D,W,W,D,W,W,L,L,L,W,D"
1994-1995,3,Nott'm Forest,42,22,11,9,72,43,29,77,21,21,36,18,36,25,12,6,3,10,5,6,"D,W,W,W,W,D,W,W,W,W,W,D,D,L,L,D,W,L,L,W,L,W,D,W,W,D,L,L,D,L,L,W,W,D,W,W,D,W,W,W,D,W","W,W,D,W,W,W,D,D,L,W,W,W,D,L,D,L,W,W,W,W,D","D,W,W,W,W,D,L,L,W,L,L,D,W,L,L,W,D,W,D,W,W"
1994-1995,4,Liverpool,42,21,11,10,65,37,28,74,21,21,38,13,27,24,13,5,3,8,6,7,"W,L,L,D,W,W,L,W,L,W,D,W,L,W,W,D,D,D,L,W,W,W,W,D,D,D,D,L,W,W,L,W,W,L,W,W,D,L,D,W,W,W","W,W,L,W,W,L,W,D,D,L,W,W,D,D,W,W,W,W,W,D,W","L,L,D,W,L,W,D,W,D,W,W,D,D,L,L,W,L,D,L,W,W"
1994-1995,5,Leeds,42,20,13,9,59,38,21,73,21,21,35,15,24,23,13,5,3,7,8,6,"D,W,W,W,W,D,W,W,D,L,W,W,W,L,D,W,D,D,W,D,D,L,D,W,D,L,W,L,W,L,W,W,D,L,W,D,L,W,W,L,W,D","W,W,W,D,W,W,L,W,W,D,L,D,D,W,W,W,D,W,W,L,W","D,W,W,D,L,W,W,D,D,D,D,W,L,L,L,W,L,D,L,W,D"
1994-1995,6,Newcastle,42,20,12,10,67,47,20,72,21,21,46,20,21,27,14,6,1,6,6,9,"W,L,D,D,L,L,W,D,L,W,W,L,W,W,W,L,W,W,D,D,D,L,D,D,W,L,D,L,D,W,L,W,W,D,W,D,W,W,W,W,W,W","W,D,L,W,W,W,W,W,W,W,D,D,W,D,W,W,D,D,W,W,W","L,D,L,D,L,L,W,L,D,L,D,D,L,L,D,L,W,W,W,W,W"
1994-1995,7,Spurs,42,16,14,12,66,58,8,62,21,21,32,25,34,33,10,5,6,6,9,6,"D,L,L,D,D,W,D,W,L,D,W,D,W,D,L,D,W,L,W,W,W,D,W,D,W,W,D,D,L,L,W,L,D,D,W,L,L,L,W,L,W,W","D,L,W,W,D,W,W,L,W,W,D,W,W,D,L,W,D,L,L,L,W","L,D,D,D,L,D,D,D,L,W,W,W,D,D,L,L,D,W,L,W,W"
1994-1995,8,QPR,42,17,9,16,61,59,2,60,21,21,36,26,25,33,11,3,7,6,6,9,"W,W,D,L,L,L,W,W,L,W,W,L,W,W,W,D,D,W,L,L,W,D,D,W,L,W,L,W,L,W,W,L,L,D,L,L,D,D,D,L,W,L","W,L,W,L,W,L,W,W,D,W,D,L,W,W,W,W,L,L,D,L,W","W,D,L,L,W,W,W,D,L,L,W,D,W,L,L,L,D,L,D,D,L"
1994-1995,9,Wimbledon,42,15,11,16,48,65,-17,56,21,21,26,26,22,39,9,5,7,6,6,9,"D,D,D,D,L,L,D,W,W,W,W,L,L,W,L,L,D,L,W,W,D,W,W,D,W,L,L,W,W,L,W,L,L,L,L,W,D,W,L,L,D,D","D,D,L,D,W,W,L,L,D,W,W,W,L,W,W,W,L,L,W,L,D","D,D,L,W,W,W,L,L,L,W,D,W,D,L,L,L,L,W,D,L,D"
1994-1995,10,Southampton,42,12,18,12,61,63,-2,54,21,21,33,27,28,36,8,9,4,4,9,8,"D,L,D,W,D,W,W,W,L,W,W,L,D,D,L,D,D,D,D,D,D,D,L,W,L,L,D,W,D,D,L,L,L,W,W,W,D,W,L,L,D,D","D,W,D,W,W,W,D,D,D,D,L,W,L,W,D,L,W,W,D,L,D","L,D,W,W,L,L,L,D,D,D,D,D,L,D,D,L,L,W,W,L,D"
1994-1995,11,Chelsea,42,13,15,14,50,55,-5,54,21,21,25,22,25,33,7,7,7,6,8,7,"W,D,D,W,D,W,L,D,D,L,L,L,W,D,W,D,D,L,D,D,D,L,L,D,L,W,L,D,W,L,D,D,W,L,W,L,W,L,L,W,W,W","W,W,W,L,D,L,D,D,L,D,D,L,D,L,D,W,W,L,L,W,W","D,D,D,D,L,L,W,W,D,D,L,L,W,D,W,L,D,L,W,L,W"
