season,position,team,played,won,draw,lost,goals_for,goals_against,goal_difference,points,home_games_played,away_games_played,home_goals_for,home_goals_against,away_goals_for,away_goals_against,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,season_form,home_form,away_form
1994-1995,12,Arsenal,42,13,12,17,52,49,3,51,21,21,27,21,25,28,6,9,6,7,3,11,"L,D,D,W,W,L,L,W,L,L,L,L,W,W,D,L,D,W,D,L,L,W,D,L,W,D,D,L,L,D,D,W,W,W,L,W,L,D,D,L,L,W","D,D,W,L,W,L,W,D,D,D,L,D,L,D,D,W,W,L,L,D,W","L,W,L,L,L,L,W,L,W,L,W,W,D,L,L,D,W,W,D,L,L"
1994-1995,13,Sheffield Wed,42,13,12,17,49,57,-8,51,21,21,26,26,23,31,7,7,7,6,5,10,"W,L,D,D,L,W,L,L,L,L,D,W,L,L,L,W,W,D,D,D,W,W,W,L,L,W,D,W,D,L,D,L,W,W,L,D,D,L,D,W,L,L","W,D,W,L,L,L,L,W,D,D,W,L,W,W,L,D,W,D,D,D,L","L,D,L,L,L,D,W,L,W,D,W,W,L,D,D,L,W,L,L,W,L"
1994-1995,14,West Ham,42,13,11,18,44,48,-4,50,21,21,28,19,16,29,9,6,6,4,5,12,"D,W,L,D,W,D,W,D,W,D,D,L,W,L,L,D,W,L,L,L,W,L,D,W,D,L,L,L,W,L,L,W,L,W,W,L,W,D,L,L,L,D","D,W,D,W,W,D,L,D,L,L,W,D,W,L,W,W,W,L,W,L,D","L,D,D,W,D,L,W,L,W,L,L,D,L,L,L,L,L,W,D,L,L"
1994-1995,15,Everton,42,11,17,14,44,51,-7,50,21,21,31,23,13,28,8,9,4,3,8,10,"D,W,D,D,D,D,W,L,W,D,L,D,W,L,D,W,L,D,W,D,L,W,L,D,D,W,W,W,D,W,D,L,L,L,L,D,D,L,L,L,L,D","D,D,D,W,L,D,W,W,W,W,L,D,W,W,W,D,L,D,D,L,D","D,W,D,W,L,D,L,D,L,D,D,L,D,W,D,L,L,L,L,L,L"
1994-1995,16,Coventry,42,12,14,16,44,62,-18,50,21,21,23,25,21,37,7,7,7,5,7,9,"D,W,L,L,L,W,L,L,W,D,D,D,W,W,W,D,D,L,D,L,L,L,D,D,L,D,W,W,D,L,W,L,W,W,D,L,W,D,L,L,L,D","D,L,W,L,D,W,W,D,L,L,D,D,D,W,L,W,W,L,W,L,D","W,L,L,L,W,D,D,W,D,D,L,L,L,W,D,L,W,D,D,L,L"
1994-1995,17,Man City,42,12,13,17,53,64,-11,49,21,21,37,28,16,36,8,7,6,4,6,11,"L,L,D,D,W,W,L,L,L,W,D,L,D,D,W,L,D,L,D,D,D,L,L,L,L,W,W,W,L,D,L,W,W,D,L,W,D,D,L,W,W,L","L,D,W,W,L,D,W,L,L,D,D,L,L,W,D,W,D,W,D,W,W","L,D,W,L,L,L,D,D,D,D,L,L,W,W,L,L,W,L,D,L,L"
1994-1995,18,Aston Villa,42,11,15,16,51,56,-5,48,21,21,27,24,24,32,6,9,6,5,6,10,"D,W,D,L,L,L,D,W,L,D,L,L,D,W,W,L,W,W,W,D,D,W,D,L,D,D,D,W,L,L,L,L,D,L,L,L,L,W,W,D,D,D","W,D,L,L,D,L,D,W,W,W,D,W,D,D,L,L,D,L,W,D,D","D,L,L,D,W,L,W,L,W,D,D,L,D,W,L,L,L,L,L,W,D"
1994-1995,19,Crystal Palace,42,11,12,19,34,49,-15,45,21,21,16,23,18,26,6,6,9,5,6,10,"L,L,W,L,L,L,W,D,D,W,L,W,D,L,L,W,D,L,W,L,L,D,D,L,D,L,D,L,W,W,W,W,L,L,W,L,D,D,L,D,D,L","W,L,D,D,W,W,L,L,D,W,L,D,L,D,W,W,L,L,D,L,L","L,L,L,L,W,L,D,W,L,L,D,D,L,L,W,W,L,W,D,D,D"
1994-1995,20,Norwich,42,10,13,19,37,54,-17,43,21,21,27,21,10,33,8,8,5,2,5,14,"D,L,L,L,L,L,L,L,W,L,D,D,D,D,L,D,L,D,L,L,W,L,L,W,W,L,W,L,D,D,L,W,D,W,W,L,W,D,D,W,D,L","D,L,L,W,D,D,L,D,D,L,W,L,W,W,D,W,W,W,D,W,D","L,L,L,L,L,L,D,D,L,L,L,W,L,L,D,L,D,L,W,D,L"
1994-1995,21,Leicester,42,6,11,25,45,80,-35,29,21,21,28,37,17,43,5,6,10,1,5,15,"D,D,W,L,L,L,W,L,L,L,L,L,D,L,D,D,L,W,L,L,L,D,L,D,L,D,L,W,L,L,L,L,W,L,D,D,W,L,D,L,L,L","D,W,L,W,L,L,L,D,L,L,L,D,D,W,L,L,W,D,W,D,L","D,L,L,L,L,L,D,D,W,L,L,D,L,L,L,L,L,D,L,L,L"
1994-1995,22,Ipswich,42,7,6,29,36,93,-57,27,21,21,24,34,12,59,5,3,13,2,3,16,"L,L,W,L,D,L,L,L,L,L,L,L,L,W,L,L,L,D,W,W,L,L,D,D,L,L,D,L,L,W,L,L,L,L,L,W,L,L,L,W,D,L","L,W,D,L,L,L,W,L,D,W,L,D,L,L,W,L,L,W,L,L,L","L,L,L,L,L,L,L,L,L,W,L,D,L,D,L,L,L,L,L,W,D"
1995-1996,1,Man Utd,38,25,7,6,73,35,38,82,19,19,36,9,37,26,15,4,0,10,3,6,"W,W,W,L,W,W,W,W,D,W,W,W,W,W,W,D,L,W,W,L,L,D,D,D,W,W,L,W,W,W,D,D,W,W,W,W,W,L","W,W,W,W,W,W,W,D,W,W,D,D,W,W,W,D,W,W,W","W,L,W,D,W,W,W,W,L,L,L,D,W,L,W,D,W,W,L"
1995-1996,2,Newcastle,38,24,6,8,66,37,29,78,19,19,38,9,28,28,17,1,1,7,5,7,"D,D,W,W,W,L,W,L,L,W,L,D,L,W,W,W,W,W,L,W,W,L,D,W,D,W,W,D,W,W,W,W,W,L,W,W,W,W","D,W,W,W,W,L,W,W,W,W,W,W,W,W,W,W,W,W,W","D,W,L,L,L,D,L,W,W,L,L,D,D,D,W,W,L,W,W"
1995-1996,3,Liverpool,38,20,11,7,70,34,36,71,19,19,46,13,24,21,14,4,1,6,7,6,"D,D,W,D,W,L,W,L,W,D,W,W,W,D,W,W,D,W,D,W,W,W,D,L,D,L,L,W,W,D,D,W,W,L,W,W,L,W","W,W,W,W,D,W,D,W,W,W,W,D,L,W,D,W,W,W,W","D,D,D,L,L,W,W,W,D,D,W,L,D,L,W,D,L,W,L"
1995-1996,4,Aston Villa,38,18,9,11,52,35,17,63,19,19,32,15,20,20,11,5,3,7,4,8,"L,L,D,L,W,W,D,L,W,W,L,W,D,W,W,L,W,D,W,L,W,D,D,L,W,D,W,W,L,L,W,D,W,D,W,L,W,W","L,D,W,D,W,W,W,W,L,W,W,D,D,W,L,D,W,W,W","L,L,W,L,L,D,W,D,W,L,D,L,W,W,L,W,D,L,W"
1995-1996,5,Arsenal,38,17,12,9,49,32,17,63,19,19,30,16,19,16,10,7,2,7,5,7,"W,D,D,D,L,W,W,L,W,W,D,W,W,D,L,W,L,L,W,L,D,D,D,D,W,L,W,L,W,W,L,W,W,W,D,D,W,D","W,D,D,W,W,W,D,L,L,W,D,D,W,W,W,W,W,D,D","D,L,L,W,D,W,W,W,L,L,D,D,L,L,W,L,W,D,W"
1995-1996,6,Everton,38,17,10,11,64,44,20,61,19,19,35,19,29,25,10,5,4,7,5,7,"W,W,D,L,W,W,L,D,D,W,W,L,W,D,W,D,W,W,W,L,L,W,D,D,W,W,W,L,D,D,L,L,L,L,W,W,L,D","W,D,W,L,D,W,W,D,W,W,W,D,W,W,D,L,L,W,L","W,L,W,D,W,L,D,W,W,L,L,D,W,L,D,L,L,W,D"
1995-1996,7,Blackburn,38,18,7,13,61,47,14,61,19,19,44,19,17,28,14,2,3,4,5,10,"W,D,W,W,W,L,L,W,W,D,L,L,L,W,W,W,D,W,W,D,W,L,W,D,W,L,L,W,D,W,L,W,L,D,L,L,L,W","D,W,W,L,W,L,W,W,W,W,W,W,W,W,W,W,D,L,W","W,W,L,W,D,L,L,W,D,D,L,D,L,L,D,L,L,L,L"
1995-1996,8,Spurs,38,16,13,9,50,38,12,61,19,19,26,19,24,19,9,5,5,7,8,4,"D,W,D,D,D,L,W,L,W,L,W,W,L,D,L,W,W,L,D,D,W,W,D,D,W,W,W,D,D,L,W,W,W,W,D,L,L,D","D,D,W,L,W,W,L,W,W,D,W,D,W,D,L,W,W,L,L","D,W,D,L,L,W,D,L,L,D,W,D,W,W,D,W,W,D,D"
1995-1996,9,Nott'm Forest,38,15,13,10,50,54,-4,58,19,19,29,17,21,37,11,6,2,4,7,8,"W,D,L,D,L,W,W,L,W,D,W,L,L,L,W,L,W,L,W,W,L,D,D,D,D,L,W,D,W,W,W,D,W,D,D,D,D,W","W,D,D,L,W,W,L,W,W,W,W,D,D,W,W,W,W,D,D","L,W,L,D,W,L,L,L,L,L,D,D,L,D,W,D,D,D,W"
1995-1996,10,West Ham,38,14,9,15,43,52,-9,51,19,19,25,21,18,31,9,5,5,5,4,10,"D,L,D,W,L,D,W,L,W,D,L,W,W,W,W,W,L,L,L,L,W,L,L,W,D,W,L,W,D,W,D,W,L,L,D,D,L,L","D,W,D,W,W,L,W,W,W,L,W,W,D,L,D,W,L,D,L","L,D,L,L,D,W,W,L,L,L,L,L,W,W,W,D,L,D,L"
1995-1996,11,Chelsea,38,12,14,12,46,44,2,50,19,19,30,22,16,22,7,7,5,5,7,7,"L,D,D,W,L,L,D,L,D,D,W,L,L,W,W,D,W,D,L,W,D,W,D,D,W,L,D,L,L,W,W,L,W,W,D,L,D,D","L,W,L,D,D,L,W,W,D,L,W,D,W,D,L,W,W,D,D","D,D,L,L,D,W,L,D,W,W,D,D,L,L,W,L,W,L,D"
1995-1996,12,Middlesbrough,38,11,10,17,35,50,-15,43,19,19,27,27,8,23,8,3,8,3,7,9,"L,L,L,D,W,W,D,D,L,L,D,L,L,L,L,L,L,L,L,W,L,W,D,W,L,D,D,L,W,W,W,W,W,D,D,L,W,D","L,L,W,D,L,L,L,L,L,W,W,W,L,D,W,W,W,D,W","L,D,W,D,L,D,L,L,L,L,L,D,D,L,W,W,D,L,D"
1995-1996,13,Leeds,38,12,7,19,40,57,-17,43,19,19,21,21,19,36,8,3,8,4,4,11,"D,L,L,L,L,L,L,W,L,D,L,W,L,L,L,L,W,D,L,W,W,L,D,L,L,W,D,W,D,L,W,W,L,L,D,W,W,W","L,L,L,W,L,D,L,W,D,W,D,L,W,W,L,W,L,W,W","D,L,L,L,L,W,L,L,L,L,W,L,L,D,D,W,L,D,W"
1995-1996,14,Wimbledon,38,10,11,17,55,70,-15,41,19,19,27,33,28,37,5,6,8,5,5,9,"D,L,L,W,W,D,W,W,L,D,D,D,L,L,W,L,L,W,W,D,L,D,D,D,L,D,L,L,L,L,L,L,L,W,D,L,W,W","L,W,W,L,D,D,L,W,L,D,L,D,D,L,L,L,W,D,W","D,L,W,D,W,D,L,L,W,W,D,D,L,L,L,L,L,L,W"
1995-1996,15,Sheffield Wed,38,10,10,18,48,61,-13,40,19,19,30,31,18,30,7,5,7,3,5,11,"D,L,D,L,W,L,L,W,W,L,L,L,L,W,L,L,D,W,L,D,W,D,W,D,L,D,D,L,W,L,L,D,L,W,D,L,W,L","L,D,W,W,L,L,W,D,W,D,W,W,D,L,L,D,L,L,W","D,L,L,L,W,L,L,L,L,L,D,D,L,D,W,L,W,D,L"
1995-1996,16,Coventry,38,8,14,16,42,60,-18,38,19,19,21,23,21,37,6,7,6,2,7,10,"D,W,D,W,L,W,L,L,L,D,D,D,W,D,L,D,L,D,W,W,L,W,L,D,L,D,L,L,L,D,L,L,L,D,D,D,W,L","D,W,W,L,D,D,W,L,D,W,W,D,L,L,L,L,D,D,W","W,D,L,L,L,D,D,L,D,W,L,L,D,L,D,L,L,D,L"
1995-1996,17,Southampton,38,9,11,18,34,52,-18,38,19,19,21,18,13,34,7,7,5,2,4,13,"D,W,L,W,L,W,L,L,W,L,L,L,L,D,D,W,L,D,D,D,L,D,D,W,L,L,W,W,L,L,D,L,L,D,W,D,L,L","D,W,W,W,L,L,D,D,W,D,D,W,L,W,L,D,W,D,L","W,L,L,L,L,L,L,L,D,D,L,D,L,W,L,L,L,D,L"
1995-1996,18,Man City,38,9,11,18,33,58,-25,38,19,19,21,19,12,39,7,7,5,2,4,13,"D,W,W,L,L,D,L,W,D,L,D,D,L,W,D,D,L,W,L,L,D,L,W,W,W,D,W,L,D,L,L,L,L,L,L,L,L,D","D,W,L,W,D,D,W,D,W,L,D,W,W,W,D,L,L,L,D","W,L,D,L,D,L,L,D,L,L,L,W,D,L,L,L,L,L,L"
1995-1996,19,QPR,38,9,6,23,38,57,-19,33,19,19,25,26,13,31,6,5,8,3,1,15,"L,W,L,W,L,W,D,D,L,L,D,W,L,L,L,L,L,L,L,W,W,L,D,L,L,D,L,D,L,L,W,L,W,L,L,W,L,L","W,W,W,D,L,D,L,L,L,W,W,D,D,D,L,L,L,W,L","L,L,L,D,L,W,L,L,L,L,L,L,L,L,L,W,W,L,L"
1995-1996,20,Bolton,38,8,5,25,39,71,-32,29,19,19,16,31,23,40,5,4,10,3,1,15,"L,L,L,W,L,D,W,L,W,W,L,W,L,L,L,W,L,L,L,D,L,L,D,L,L,L,L,W,L,D,L,L,L,D,L,W,L,L","L,W,D,W,L,L,L,W,L,L,L,D,L,W,D,L,D,W,L","L,L,L,W,W,W,L,L,L,D,L,L,L,L,L,L,L,L,L"
1996-1997,1,Man Utd,38,21,12,5,76,44,32,75,19,19,38,17,38,27,12,5,2,9,7,3,"W,D,D,D,W,W,L,W,W,L,W,D,W,W,W,W,W,D,W,W,W,D,D,W,D,W,L,L,L,W,W,D,W,W,D,D,D,W","W,D,D,L,W,W,W,W,D,W,W,W,W,L,W,W,W,D,D","D,W,W,W,L,D,W,W,W,W,D,D,D,L,L,D,W,D,W"
1996-1997,2,Newcastle,38,19,11,8,73,40,33,68,19,19,54,20,19,20,13,3,3,6,8,5,"W,D,D,W,W,W,D,D,D,W,L,L,W,W,W,D,D,W,W,L,D,L,D,L,D,D,W,L,W,W,W,W,W,W,W,L,W,L","W,W,W,D,W,L,W,W,W,W,D,L,D,W,W,W,W,L,W","D,D,W,D,D,L,W,D,D,L,L,D,D,L,W,W,W,W,L"
1996-1997,3,Arsenal,38,19,11,8,62,32,30,68,19,19,36,18,26,14,10,5,4,9,6,4,"W,L,D,D,W,W,L,W,W,W,L,L,D,D,W,W,L,W,D,D,L,D,W,W,W,L,D,W,D,W,W,W,W,D,D,W,L,W","L,D,W,L,W,L,L,W,W,D,D,W,W,W,D,W,W,D,W","W,D,W,W,W,D,D,W,L,D,L,W,L,D,W,W,D,W,L"
1996-1997,4,Liverpool,38,19,11,8,62,37,25,68,19,19,38,19,24,18,10,6,3,9,5,5,"D,L,W,L,D,W,L,W,D,W,L,D,W,W,W,D,L,W,D,D,W,W,L,W,D,D,W,L,W,L,W,W,W,W,W,D,W,D","W,L,L,W,D,W,W,D,D,W,W,L,D,D,W,W,W,D,W","D,L,D,W,W,D,L,W,L,W,D,W,W,L,L,W,W,W,D"
1996-1997,5,Aston Villa,38,17,10,11,47,34,13,61,19,19,27,13,20,21,11,5,3,6,5,8,"W,L,D,D,L,W,W,W,D,L,W,D,W,W,L,L,D,D,D,L,W,W,W,W,W,L,W,L,W,L,L,D,D,D,W,W,W,L","W,D,W,D,W,W,W,L,D,L,W,W,L,W,W,D,D,W,W","L,D,L,W,W,L,D,L,D,D,W,W,W,L,L,L,D,W,L"
1996-1997,6,Chelsea,38,16,11,11,58,55,3,59,19,19,33,22,25,33,9,8,2,7,3,9,"W,D,W,W,L,L,L,L,W,W,L,D,L,D,W,W,L,W,D,W,W,L,D,L,D,D,W,W,L,W,D,L,D,W,D,W,W,D","D,W,L,W,W,D,D,W,W,D,W,D,D,W,L,D,D,W,W","W,W,L,L,L,L,L,W,L,W,L,L,D,W,W,L,W,D,D"
1996-1997,7,Sheffield Wed,38,14,15,9,50,51,-1,57,19,19,25,16,25,35,8,10,1,6,5,8,"D,L,L,L,W,D,W,D,L,W,W,W,W,D,D,W,L,W,D,D,D,D,W,D,D,W,D,D,D,L,L,D,L,L,W,W,W,W","D,W,D,W,D,W,W,D,W,D,D,D,W,D,D,D,L,W,W","L,L,L,L,W,W,D,W,L,D,D,W,D,D,L,L,L,W,W"
1996-1997,8,Wimbledon,38,15,11,12,49,46,3,56,19,19,28,21,21,25,9,6,4,6,5,8,"W,W,D,L,L,W,L,L,D,D,L,D,L,D,W,D,L,L,D,W,L,W,W,W,D,D,D,D,W,W,W,W,W,W,W,L,L,L","W,W,L,W,L,D,D,L,D,D,W,W,D,D,W,W,W,W,L","D,L,L,L,D,D,W,L,L,W,L,W,D,D,W,W,W,L,L"
1996-1997,9,Leicester,38,12,11,15,46,54,-8,47,19,19,22,26,24,28,7,5,7,5,6,8,"W,W,D,L,L,L,D,D,D,L,D,W,W,W,L,D,W,L,D,D,L,D,W,L,L,W,L,W,L,L,W,W,L,D,L,L,W,D","W,D,L,D,L,W,W,D,W,D,L,D,L,W,L,W,L,L,W","W,L,L,D,D,D,W,L,L,D,W,L,W,L,L,W,D,L,D"
1996-1997,10,Spurs,38,13,7,18,44,51,-7,46,19,19,19,17,25,34,8,4,7,5,3,11,"L,L,W,D,L,L,W,L,D,W,W,L,L,D,L,W,L,L,L,W,D,D,W,L,L,W,W,L,W,W,L,L,W,L,L,D,D,W","L,W,W,W,L,D,L,W,L,W,D,L,W,W,W,L,L,D,D","L,D,L,L,L,D,W,L,L,L,D,W,L,L,W,L,W,L,W"
1996-1997,11,Leeds,38,11,13,14,28,38,-10,46,19,19,15,13,13,25,7,7,5,4,6,9,"D,D,D,D,L,D,D,L,D,W,W,W,L,D,D,W,W,L,L,L,D,D,D,W,W,L,W,L,L,W,L,L,L,L,W,W,L,D","D,D,D,D,W,W,D,D,W,L,D,W,L,W,W,L,L,W,L","D,D,L,D,L,W,L,W,L,L,D,D,W,L,L,L,L,W,D"
1996-1997,12,Derby,38,11,13,14,45,58,-13,46,19,19,25,22,20,36,8,6,5,3,7,9,"L,W,D,L,W,D,W,W,L,L,W,L,D,W,L,D,L,D,D,L,L,L,D,W,D,W,W,L,D,L,L,D,W,W,D,L,D,D","L,D,W,D,W,W,D,W,L,D,L,W,W,W,L,L,W,D,D","W,L,W,L,L,L,D,L,D,L,L,D,D,L,D,D,W,L,D"
1996-1997,13,Blackburn,38,9,15,14,42,43,-1,42,19,19,28,23,14,20,8,4,7,1,11,7,"L,D,L,W,D,L,D,L,L,W,D,D,W,D,W,L,D,W,W,D,W,L,D,W,D,D,W,L,D,L,D,D,L,L,L,D,L,L","L,D,W,L,L,W,D,W,W,W,W,W,D,W,L,D,L,L,L","L,D,D,L,D,D,L,D,W,D,L,D,D,L,D,D,L,D,L"
1996-1997,14,Middlesbrough,38,10,12,16,51,60,-9,42,19,19,34,25,17,35,8,5,6,2,7,10,"D,D,D,W,L,L,D,D,W,W,W,W,L,L,D,W,L,L,L,W,L,D,L,L,D,L,L,D,L,D,L,L,W,W,W,D,L,D","W,L,D,W,W,W,L,W,L,W,D,L,D,D,L,L,W,W,D","D,D,D,L,D,W,L,D,L,L,L,L,L,L,D,L,W,D,L"
1996-1997,15,West Ham,38,10,12,16,39,48,-9,42,19,19,27,25,12,23,7,6,6,3,6,10,"L,D,W,W,D,L,D,W,D,D,W,L,W,L,L,L,L,D,L,W,L,D,L,D,D,D,L,W,W,L,L,W,L,D,L,W,D,L","D,W,D,D,W,W,L,L,L,W,D,L,D,W,W,L,L,W,D","L,W,L,W,D,D,L,L,L,D,L,D,D,L,L,W,D,L,L"
1996-1997,16,Everton,38,10,12,16,44,57,-13,42,19,19,24,22,20,35,7,4,8,3,8,8,"L,L,D,D,W,D,L,L,W,L,D,L,D,W,L,L,L,L,L,L,D,W,D,L,W,D,W,D,W,W,W,D,L,L,L,D,D,W","L,D,W,D,L,W,L,W,L,L,D,L,W,D,W,W,L,L,W","L,D,L,L,D,D,L,L,L,L,W,D,W,D,W,D,L,D,D"
1996-1997,17,Southampton,38,10,11,17,50,56,-6,41,19,19,32,24,18,32,6,7,6,4,4,11,"L,W,W,D,W,D,W,D,L,L,D,D,W,D,L,L,D,W,L,L,W,L,L,L,L,L,D,W,W,D,W,L,L,L,D,L,L,D","W,D,W,D,L,D,D,L,D,L,W,L,L,W,W,W,L,D,D","L,W,D,W,L,D,W,L,W,L,L,L,L,D,D,L,L,L,L"
1996-1997,18,Coventry,38,9,14,15,38,54,-16,41,19,19,19,23,19,31,4,8,7,5,6,8,"W,L,D,D,W,W,L,L,D,D,L,D,L,D,W,L,L,D,W,W,W,W,L,L,L,D,D,D,D,D,D,L,W,L,L,L,D,L","L,D,W,L,D,D,D,L,D,W,W,L,L,D,D,D,W,L,L","W,D,W,L,L,L,D,W,L,W,W,L,D,D,D,L,L,L,D"
1996-1997,19,Sunderland,38,10,10,18,35,53,-18,40,19,19,20,18,15,35,7,6,6,3,4,12,"L,W,L,W,L,D,D,L,L,W,L,L,L,L,D,D,W,D,L,W,L,W,L,W,D,L,L,W,L,D,L,W,L,D,L,D,W,D","W,L,L,D,W,L,L,D,W,W,W,L,D,W,D,W,D,L,D","L,W,D,L,L,L,L,D,D,L,L,W,L,L,L,L,L,D,W"
1996-1997,20,Nott'm Forest,38,6,16,16,31,59,-28,34,19,19,15,27,16,32,3,9,7,3,7,9,"L,D,D,D,L,D,D,D,D,L,L,W,D,L,L,W,W,W,D,L,W,L,D,L,D,L,L,L,D,L,D,L,L,D,D,D,L,W","D,D,L,D,L,D,L,W,W,L,W,D,D,L,D,L,D,D,L","L,D,D,D,D,L,W,L,W,D,L,L,L,L,L,D,L,D,W"
1997-1998,1,Arsenal,38,23,9,6,68,33,35,78,19,19,43,10,25,23,15,2,2,8,7,4,"L,L,W,W,W,W,W,W,W,W,W,W,D,W,W,W,D,W,D,W,L,W,L,L,W,L,D,D,W,D,W,W,W,D,D,W,W,D","W,W,W,W,W,W,W,W,W,W,L,L,W,D,W,W,W,D,W","L,L,W,W,W,W,W,D,D,D,W,L,L,D,D,W,D,W,D"
1997-1998,2,Man Utd,38,23,8,7,73,26,47,77,19,19,42,9,31,17,13,4,2,10,4,5,"W,W,W,D,D,W,W,L,D,L,W,W,W,D,L,L,W,L,W,W,W,W,W,W,L,W,W,D,W,L,D,D,W,W,W,D,W,W","W,D,D,W,L,W,D,L,W,W,W,W,W,W,W,D,W,W,W","W,W,W,D,L,W,W,L,L,W,W,W,L,D,L,D,W,D,W"
1997-1998,3,Liverpool,38,18,11,9,68,42,26,65,19,19,42,16,26,26,13,2,4,5,9,5,"L,W,W,L,D,W,D,W,D,W,L,D,D,L,D,W,D,W,W,W,W,W,L,W,L,W,D,W,L,W,L,W,D,W,W,D,L,D","W,W,W,W,D,L,D,W,W,W,W,L,L,W,W,W,W,W,L","L,L,D,D,W,D,L,D,D,W,W,W,D,L,L,D,W,D,D"
1997-1998,4,Chelsea,38,20,3,15,71,43,28,63,19,19,37,14,34,29,13,2,4,7,1,11,"W,L,L,W,W,W,L,W,L,W,L,L,L,L,W,L,W,L,D,W,D,W,W,W,L,W,W,L,W,L,W,D,L,W,W,W,W,L","W,L,W,W,W,W,L,L,W,W,D,D,W,W,W,W,W,L,W","L,L,W,L,L,L,L,L,W,W,L,W,L,L,D,W,W,W,L"
1997-1998,5,Leeds,38,17,8,13,57,46,11,59,19,19,31,21,26,25,9,5,5,8,3,8,"D,L,D,W,L,W,W,L,W,W,W,L,D,L,W,L,L,D,L,W,D,D,W,W,W,W,L,W,D,W,W,L,W,L,L,L,W,D","D,D,W,W,W,W,L,L,D,W,D,W,W,W,W,L,L,L,D","L,W,L,L,W,D,L,W,L,L,D,W,W,L,D,W,W,L,W"
1997-1998,6,Blackburn,38,16,10,12,57,52,5,58,19,19,40,26,17,26,11,4,4,5,6,8,"W,L,W,D,L,L,L,L,W,L,L,W,L,L,D,W,L,D,D,W,W,W,L,W,W,D,D,W,W,D,D,D,L,W,W,D,W,W","W,D,L,L,W,W,L,W,D,W,W,W,W,W,D,L,W,D,W","L,W,L,L,L,L,L,D,L,D,W,L,D,D,W,D,D,W,W"
1997-1998,7,Aston Villa,38,17,6,15,49,48,1,57,19,19,26,24,23,24,9,3,7,8,3,8,"W,W,L,W,W,W,W,W,L,W,W,L,L,W,L,L,D,D,W,D,L,W,L,W,D,L,D,L,W,D,L,W,W,W,L,L,L,L","W,L,W,W,L,W,L,L,D,W,D,W,W,L,L,D,W,W,L","W,W,W,W,W,L,W,L,D,L,L,D,D,W,L,W,L,L,L"
1997-1998,8,West Ham,38,16,8,14,56,57,-1,56,19,19,40,18,16,39,13,4,2,3,4,12,"W,D,L,L,W,D,D,L,W,W,D,D,D,W,D,L,W,W,W,L,W,L,W,W,L,L,L,W,L,W,L,L,L,W,D,L,W,W","W,L,W,D,W,W,D,D,D,W,W,W,W,W,W,W,L,W,W","D,L,D,L,D,W,L,W,L,L,L,L,L,L,L,L,D,L,W"
1997-1998,9,Derby,38,16,7,15,52,49,3,55,19,19,33,18,19,31,12,3,4,4,4,11,"W,W,L,L,L,W,D,L,L,L,W,L,W,L,W,D,W,L,W,D,D,D,W,L,W,L,W,L,D,D,W,W,W,L,W,W,L,L","W,L,W,L,L,W,L,W,W,W,D,W,W,W,D,D,W,W,W","W,L,L,D,L,L,W,D,L,D,D,L,L,L,W,W,L,L,L"
